Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cd274,6.51281194186718e-11,0.876828724976853,0.804,0.83,1.70518442261966e-06
Tgif1,6.62980394408717e-11,-0.116138539042689,0.278,0.388,1.7358152686409e-06
Stk4,6.79285095493986e-11,-0.27032936962827,0.348,0.46,1.77850423702235e-06
Maml2,7.01600290781321e-11,-0.49247688182782,0.097,0.164,1.83692988132365e-06
Rab5if,7.11430483271157e-11,-0.292137037190419,0.332,0.446,1.86266729130054e-06
Nolc1,7.49342573028953e-11,-0.449933713040031,0.12,0.194,1.9619287247044e-06
ENSMUSG00000120863,7.56079548590361e-11,-0.93816614268982,0.038,0.086,1.97956747411928e-06
Dennd4b,7.65593697957957e-11,-0.471373679434249,0.14,0.217,2.00447741999352e-06
Ccpg1,7.7061791769004e-11,-1.41297282381449,0.019,0.057,2.01763183209606e-06
Wdr3,7.92918676829792e-11,-0.640958904794988,0.072,0.133,2.07601967967576e-06
Scel,8.0151368907996e-11,2.41723725903267,0.03,0.009,2.09852314074915e-06
Il17ra,8.04949063952245e-11,-1.14665116401702,0.019,0.059,2.10751763923977e-06
Rars,8.22851746594587e-11,-0.355005767258644,0.194,0.282,2.15439044293395e-06
Pabpc1,8.31092412811152e-11,-0.113294437813675,0.944,0.972,2.17596615522216e-06
Dab2ip,8.44631662749808e-11,2.02648318460443,0.035,0.011,2.21141461941155e-06
Immt,8.58865948044184e-11,-0.405338819436191,0.14,0.219,2.24868282516928e-06
Rpl18,8.69299001537794e-11,0.343950659082181,0.637,0.611,2.27599864582625e-06
Nceh1,8.73943112558934e-11,-0.245009122172869,0.534,0.637,2.2881578573018e-06
Fcgr1,8.84051026854237e-11,-0.192664392603443,0.476,0.601,2.31462239850976e-06
Unc93b1,9.14891432372889e-11,-0.198384040286858,0.67,0.773,2.3953687482387e-06
Erap1,9.39731273762609e-11,-0.309336056986652,0.246,0.347,2.46040442096526e-06
Rgmb,9.91427768941384e-11,-0.734905018287246,0.045,0.095,2.59575618464233e-06
Egr1,1.02161096802666e-10,-0.747464489077484,0.085,0.148,2.6747818364874e-06
Prrc2a,1.02899399346405e-10,-0.403928664612981,0.158,0.241,2.69411207368758e-06
Metap2,1.03030541144198e-10,-0.232249214204004,0.393,0.511,2.69754562823738e-06
Il15,1.044909874039e-10,-0.426311788300188,0.131,0.207,2.73578303220891e-06
Tprkb,1.06430792791543e-10,-0.809285853604317,0.048,0.1,2.78657101686819e-06
Ctsz,1.093748619595e-10,0.392908663731773,0.829,0.849,2.86365263582363e-06
Rac1,1.10109869766591e-10,-0.18781779231849,0.593,0.717,2.88289661022888e-06
Plxnc1,1.11513518388585e-10,0.678904702520141,0.309,0.247,2.91964693844993e-06
Tfe3,1.13463450147631e-10,-0.372049822881038,0.152,0.233,2.97070005176529e-06
Rps3,1.14024802291274e-10,0.363042078156434,0.742,0.746,2.98539737359013e-06
Rxylt1,1.14870716434192e-10,-0.453391175231904,0.125,0.199,3.00754509768001e-06
Ralgapa2,1.23485594325393e-10,0.97816885955668,0.177,0.121,3.23309983062743e-06
Was,1.238075537829e-10,-0.284891144692893,0.248,0.347,3.24152937314389e-06
Rnf14,1.25019284192123e-10,-0.373044812431295,0.195,0.285,3.27325489871815e-06
Nol6,1.27880984840404e-10,-0.812910579397772,0.061,0.117,3.34817994509147e-06
Tsnax,1.33750643210066e-10,-0.782224626223279,0.06,0.115,3.50185934052595e-06
Thap12,1.36433408667116e-10,-0.824519997922123,0.033,0.079,3.57209950572243e-06
Rpl30,1.38194246844879e-10,0.450059575582593,0.57,0.554,3.61820177089262e-06
Gab1,1.40159146408793e-10,-0.363314979225211,0.108,0.178,3.66964677127501e-06
Gnl2,1.43096973066635e-10,-0.565882827927443,0.107,0.176,3.74656494883063e-06
Ptgs2os2,1.43418311507105e-10,-1.03354638502558,0.022,0.063,3.75497823187903e-06
Prpf31,1.43641091298955e-10,-0.436385276796252,0.113,0.184,3.76081105238925e-06
U2af2,1.43988138851568e-10,-0.234836521318371,0.545,0.666,3.76989745141176e-06
Mib1,1.45160290760448e-10,-0.322837739286856,0.157,0.238,3.80058673269005e-06
Fam241a,1.51451122070436e-10,0.853028750167832,0.174,0.118,3.96529327804816e-06
Trmt112,1.52162242854308e-10,-0.326383087813679,0.276,0.378,3.9839118424115e-06
Prokr1,1.60131378050844e-10,2.19926895974973,0.025,0.006,4.19255974012719e-06
Ndufa5,1.601335642065e-10,-0.48232785956126,0.122,0.197,4.19261697805459e-06
Mpp1,1.6176213148096e-10,0.475644006059428,0.492,0.45,4.23525612643451e-06
Clmp,1.68715940237048e-10,2.19173478986704,0.037,0.013,4.4173207472864e-06
Ppm1h,1.71761085897971e-10,-0.423555938878326,0.136,0.214,4.49704875098067e-06
Fau,1.75633678248973e-10,0.35808774092008,0.769,0.782,4.5984409639146e-06
