Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Prkacb,-0.168173601426294,2.05913644748042e-06,0.0539123104679324,1.26831205563247,0.297,0.381,NS,FALSE
Ptpn2,-0.199479277145532,2.05942369644463e-06,0.0539198312203134,1.26825147589783,0.114,0.168,NS,FALSE
Trim33,-0.272534095667293,2.07029728748098e-06,0.054204523580827,1.26596446836542,0.115,0.168,NS,FALSE
Ivns1abp,1.01800654426355,2.07549743400562e-06,0.0543406738171352,1.26487498069087,0.111,0.076,log2FC_only,FALSE
Top3b,-0.657112083266374,2.10033882777916e-06,0.054991071188914,1.25970782047263,0.039,0.072,NS,FALSE
Aig1,-0.258363686925506,2.14401023853655e-06,0.056134476065364,1.25077032651392,0.137,0.194,NS,FALSE
Nol11,-0.465761503010877,2.14723699582328e-06,0.0562189590246452,1.25011720024473,0.083,0.128,NS,FALSE
Rest,-0.284024541140995,2.17640034184692e-06,0.0569825137502361,1.24425839602711,0.125,0.178,NS,FALSE
Cnpy2,-0.42584358379942,2.17889751911577e-06,0.0570478948454891,1.24376037708023,0.096,0.143,NS,FALSE
Rmdn2,-2.09926261049019,2.1810532407835e-06,0.0571043359501937,1.24333091438551,0.003,0.02,log2FC_only,FALSE
Naca,0.486545698111236,2.19591534927341e-06,0.0574934556746765,1.24038158706911,0.407,0.374,NS,FALSE
Car5b,1.2404524492052,2.2054394873685e-06,0.057742816658282,1.2385020353269,0.048,0.025,log2FC_only,FALSE
Ero1a,0.654430788364595,2.21781421746708e-06,0.0580668118417231,1.23607201825042,0.398,0.368,NS,FALSE
Rnf103,-0.604061764112798,2.22362838639667e-06,0.0582190384126376,1.23493497195688,0.056,0.093,NS,FALSE
Nudt5,-0.442223308927831,2.23547195184649e-06,0.0585291266432447,1.23262795626937,0.108,0.156,NS,FALSE
Utp6,-0.375151268750087,2.24419840004172e-06,0.0587576025098923,1.23093593306501,0.084,0.129,NS,FALSE
Marchf6,-0.172903644365919,2.25643239153032e-06,0.0590779128750468,1.22857485599484,0.156,0.217,NS,FALSE
Cadps2,-1.0056627551323,2.27764466394782e-06,0.0596332925914819,1.22451121086499,0.014,0.037,log2FC_only,FALSE
Il10rb,-0.172902619049588,2.28014014621603e-06,0.0596986293082281,1.22403564023925,0.417,0.506,NS,FALSE
Kcmf1,-0.127972683452263,2.30093709422223e-06,0.0602431350009264,1.22009243590801,0.368,0.455,NS,FALSE
Adssl1,0.829662570495925,2.3816216504103e-06,0.0623556180510425,1.20512441181414,0.151,0.112,NS,FALSE
Ccnl2,0.660403630423777,2.38991922371284e-06,0.0625728651152495,1.20361395889087,0.246,0.206,NS,FALSE
Tpm1,0.743012848195911,2.39334155342167e-06,0.0626624685516862,1.20299250033752,0.196,0.155,NS,FALSE
Son,-0.157483263457501,2.40413203676792e-06,0.0629449849866576,1.20103886570517,0.503,0.596,NS,FALSE
Mtr,-0.606547275114556,2.4353051841803e-06,0.0637611603322087,1.19544378820401,0.049,0.084,NS,FALSE
Rpl22,0.362968146663489,2.4364691005562e-06,0.0637916339907625,1.19523627347138,0.572,0.564,NS,FALSE
Tsc2,-0.609429297609542,2.43914799494683e-06,0.063861772803698,1.1947590296084,0.057,0.094,NS,FALSE
Map1lc3a,-0.648005134262478,2.44594370631003e-06,0.0640396981186092,1.19355072400026,0.048,0.083,NS,FALSE
Dusp28,-1.11580528719756,2.46316141236852e-06,0.0644904920986327,1.19050430913949,0.017,0.042,log2FC_only,FALSE
