Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Anxa4,1.88581850943636,2.90562247454236e-12,7.60750076284682e-08,7.11875799542065,0.369,0.189,p_adj_and_log2FC,TRUE
Plxna1,2.03212849576198,3.41838859333226e-12,8.95002501506253e-08,7.0481757508418,0.216,0.074,p_adj_and_log2FC,TRUE
Plaur,2.11514528117179,4.80446777972619e-12,1.25790575408791e-07,6.90035189626185,0.254,0.101,p_adj_and_log2FC,TRUE
Bst1,1.31103701753748,5.42961676946213e-12,1.42158226258058e-07,6.84722800396432,0.292,0.121,p_adj_and_log2FC,TRUE
Ckap4,2.34647862865836,6.42317778288427e-12,1.68171640711476e-07,6.77424723874574,0.203,0.07,p_adj_and_log2FC,TRUE
Cxcl2,3.79966882754438,7.51404075496104e-12,1.9673261504639e-07,6.70612363519767,0.11,0.022,p_adj_and_log2FC,TRUE
Clec4d,0.800659403729198,8.20914700403762e-12,2.14931886859713e-07,6.66769914867833,0.398,0.189,p_adj_and_log2FC,TRUE
Ifitm6,2.40725678073695,1.24042119307072e-11,3.24767076769776e-07,6.48842800375949,0.136,0.033,p_adj_and_log2FC,TRUE
Tyrobp,1.18598647238501,1.44112866476108e-11,3.77316307007747e-07,6.42329442488,0.475,0.273,p_adj_and_log2FC,TRUE
Cd68,1.29144158325523,1.57829509776941e-11,4.13229222497986e-07,6.38380897388797,0.458,0.261,p_adj_and_log2FC,TRUE
Bcl2a1a,3.57353324038785,1.82206415576038e-11,4.77052837261182e-07,6.32143351685056,0.047,0.002,p_adj_and_log2FC,TRUE
Ly6i,2.88377345106873,3.28383527125065e-11,8.59773750718846e-07,6.06561581822341,0.076,0.01,p_adj_and_log2FC,TRUE
Pygl,2.11984027370188,3.81292567078132e-11,9.98300199123964e-07,6.00073884226121,0.165,0.05,p_adj_and_log2FC,TRUE
Thy1,-0.562922367717526,3.96623361236961e-11,1.03843928439061e-06,5.98361889077545,0.949,0.978,p_adj_only,FALSE
Lipa,1.3506393572545,4.02094227876329e-11,1.05276310742581e-06,5.97766934269111,0.398,0.213,p_adj_and_log2FC,TRUE
Clec7a,2.69077155552582,5.19200349788815e-11,1.35937035581708e-06,5.866662205096,0.225,0.089,p_adj_and_log2FC,TRUE
Lyz2,1.69674616704701,5.91406424739964e-11,1.54842030125417e-06,5.81011114330447,0.699,0.568,p_adj_and_log2FC,TRUE
Nfkbia,1.43168989852289,6.87887980318789e-11,1.80102831007065e-06,5.74447946052259,0.292,0.132,p_adj_and_log2FC,TRUE
Cd24a,2.70677163541166,7.4754268203304e-11,1.9572162500989e-06,5.70836118709819,0.072,0.01,p_adj_and_log2FC,TRUE
Pgk1,0.561310092869543,7.98247752927775e-11,2.0899722667155e-06,5.67985947680394,0.966,0.876,p_adj_only,FALSE
Mmp9,2.71537534694089,9.03822998338697e-11,2.36638937425038e-06,5.6259137934464,0.089,0.016,p_adj_and_log2FC,TRUE
Prdx5,1.08667136776684,1.00995343688745e-10,2.64426008845873e-06,5.57769583003846,0.708,0.533,p_adj_and_log2FC,TRUE
Ctss,1.49054308548343,1.37209064891474e-10,3.59240773698858e-06,5.4446143769394,0.623,0.446,p_adj_and_log2FC,TRUE
C3,2.42928634507884,1.5557925125309e-10,4.0733759563084e-06,5.39004550442049,0.131,0.035,p_adj_and_log2FC,TRUE
Mpeg1,1.34449711473846,1.77378049395209e-10,4.64411208926537e-06,5.33309730677111,0.369,0.187,p_adj_and_log2FC,TRUE
Fcer1g,0.979609430952224,1.94807143350754e-10,5.10044062720945e-06,5.29239230356882,0.648,0.473,p_adj_and_log2FC,TRUE
Stfa2l1,5.52998864586505,2.41610474780368e-10,6.32584545069958e-06,5.19888142271563,0.102,0.022,p_adj_and_log2FC,TRUE
Gda,1.55469673367724,2.55697534046864e-10,6.694672836415e-06,5.17427064177541,0.288,0.132,p_adj_and_log2FC,TRUE
Fcgr2b,1.68574798653853,2.682118576272e-10,7.02232285639534e-06,5.15351920740732,0.212,0.081,p_adj_and_log2FC,TRUE
Ccl2,2.22504022906228,3.05346138670022e-10,7.9945726026585e-06,5.09720474908704,0.369,0.205,p_adj_and_log2FC,TRUE
Cd93,1.09322880634945,3.05545833621414e-10,7.99980101587587e-06,5.09692081535579,0.331,0.161,p_adj_and_log2FC,TRUE
Rasgrp4,1.82356518084722,3.07667875254271e-10,8.05536030990734e-06,5.09391502916098,0.161,0.05,p_adj_and_log2FC,TRUE
mt-Nd4l,-0.539041013967377,3.34845937829945e-10,8.76693634426361e-06,5.05715214679748,0.898,0.964,p_adj_only,FALSE
Fn1,3.1675225573519,3.76060447691983e-10,9.8460146414715e-06,5.00673952274714,0.102,0.022,p_adj_and_log2FC,TRUE
Olfml2b,4.1634070946876,3.90091957419235e-10,1.02133876291504e-05,4.9908301849819,0.038,0.001,log2FC_only,FALSE
Pdpn,1.93703946909889,3.99363641794964e-10,1.04561388694758e-05,4.98062865746208,0.246,0.106,log2FC_only,FALSE
Cd81,1.49055045164907,5.101393278426e-10,1.3356467881575e-05,4.87430837586901,0.25,0.107,log2FC_only,FALSE
Pf4,2.39246359631454,5.22933061573345e-10,1.36914334181133e-05,4.86355108123137,0.318,0.165,log2FC_only,FALSE
