Cell,SampleID,seurat_clusters,CellType1,nCount_RNA,nFeature_RNA,percent.mt,percent.rb,FibroblastScore1,FibroblastScoreFull,umap_1,umap_2
210916,Adipo_Cocultured,5,Monocytes,2974,1500,7.1957,5.4136,-0.082254,0.169522,0.733741,4.238761
211187,Fibro_Cocultured,11,T Cells,7242,2777,6.9042,7.3184,-0.082561,0.299719,-6.13844,-1.198594
216713,Fibro_Cocultured,2,Macrophages,3595,1755,6.8428,3.3936,-0.123179,0.163956,3.786912,-1.368947
219000,Adipo_Cocultured,0,Macrophages,3278,1560,4.5455,4.3624,-0.133542,0.110419,4.313004,0.752383
224199,Adipo_Cocultured,10,Myeloid Progenitors,6191,2651,5.8795,6.4933,-0.12171,-0.032742,-2.863965,7.682485
233144,Fibro_Cocultured,3,Macrophages,3571,1951,7.1129,3.0804,-0.128524,0.114231,2.612963,-4.844065
234704,Fibro_Cocultured,0,Macrophages,7137,2665,5.7027,5.3244,-0.094866,0.146575,2.993919,0.698018
237600,Adipo_Cocultured,5,Monocytes,1704,982,5.223,2.3474,-0.016948,-0.217111,2.879024,3.128881
237712,Fibro_Cocultured,2,Macrophages,2192,1284,8.6223,0.958,-0.081494,0.223714,4.973294,-3.809918
239703,Adipo_Cocultured,10,Myeloid Progenitors,2859,1406,5.5264,5.8062,-0.100632,-0.03532,-1.589595,7.405797
241067,Adipo_Cocultured,5,Monocytes,2324,1269,7.7883,5.6368,-0.093413,0.446249,1.701985,4.940776
243870,Adipo_Cocultured,9,T Cells,3033,1724,6.3633,11.3419,-0.089873,0.123432,-6.944885,2.126241
246563,Adipo_Cocultured,5,Monocytes,1550,882,2.2581,2,-0.053924,0.112533,0.856758,6.080436
247481,Fibro_Cocultured,0,Macrophages,5227,2160,6.409,2.7358,-0.103571,0.197433,3.891411,-1.252068
248135,Adipo_Cocultured,1,Monocytes,3147,1576,7.7534,5.7515,-0.152499,0.388586,-0.362511,1.725136
249260,Adipo_Cocultured,5,Monocytes,2510,1294,7.6096,5.498,-0.079284,0.282546,0.57961,3.56823
256588,Fibro_Cocultured,2,Macrophages,2188,1237,6.0329,2.011,-0.096827,0.245926,4.898244,-2.908974
259785,Fibro_Cocultured,2,Macrophages,5164,2208,5.8482,2.7304,-0.079666,0.175384,3.415751,-1.019436
264750,Fibro_Cocultured,0,Macrophages,4908,1995,5.4808,3.6064,-0.117723,0.087506,4.359452,0.020544
289598,Fibro_Cocultured,8,NK Cells,3045,1644,5.8456,9.1297,-0.120371,0.14266,-9.558129,0.220223
290186,Fibro_Cocultured,4,Macrophages,7449,2773,7.303,3.4501,-0.138282,0.083755,1.938695,-1.063368
293045,Adipo_Cocultured,1,Monocytes,2995,1397,4.0735,5.9432,-0.1499,0.09747,0.633194,1.184836
294590,Fibro_Cocultured,3,Macrophages,4225,2024,3.3136,3.2189,-0.107165,0.200546,0.380949,-4.19655
294738,Adipo_Cocultured,1,Monocytes,1747,1029,3.9496,5.9531,-0.065768,0.337027,1.919577,2.238454
306693,Adipo_Cocultured,1,Monocytes,3131,1373,6.2919,7.8569,-0.063837,0.517796,-0.542939,1.360279
310693,Fibro_Cocultured,3,Macrophages,2971,1639,5.823,4.4766,-0.069023,0.138984,1.489677,-3.894033
312100,Fibro_Cocultured,8,NK Cells,1771,1078,6.9452,10.6155,-0.128722,0.139182,-9.197597,-1.719102
316442,Adipo_Cocultured,4,Macrophages,3466,1557,6.3185,3.9238,-0.133567,0.115146,0.977001,0.739578
320968,Fibro_Cocultured,2,Macrophages,2300,1294,8.8696,4,-0.178893,0.118719,5.07803,-2.583636
325482,Adipo_Cocultured,13,Neutrophils,1526,722,4.325,3.9318,-0.15213,0.050287,0.017182,7.223185
325851,Fibro_Cocultured,3,Macrophages,3313,1828,5.1313,4.105,-0.13486,0.192977,3.814367,-4.714268
326654,Fibro_Cocultured,7,T Cells,2925,1602,5.812,12.0342,-0.096073,0.408396,-6.647514,0.409512
340067,Fibro_Cocultured,8,NK Cells,1585,921,8.7066,10.7256,-0.084446,0.177756,-9.234539,-2.035272
347090,Fibro_Cocultured,8,NK Cells,3163,1692,6.9238,6.2915,-0.060125,0.341784,-9.461094,-1.499263
349438,Fibro_Cocultured,2,Macrophages,3084,1697,4.1829,3.3074,-0.073354,0.050656,5.017837,-1.621456
352116,Adipo_Cocultured,0,Macrophages,3933,1712,7.3989,4.7801,-0.082678,0.175591,4.748507,-0.770314
353482,Fibro_Cocultured,6,Myeloid Progenitors,4031,1946,4.7631,6.4748,-0.073209,0.062328,-1.173291,3.442143
364212,Adipo_Cocultured,1,Monocytes,3129,1465,3.7712,5.5609,-0.137774,0.12268,-0.317395,-0.356471
364721,Adipo_Cocultured,4,Macrophages,1907,967,4.9816,5.6633,-0.075056,0.260079,1.120782,0.091487
366215,Fibro_Cocultured,2,Macrophages,3256,1660,6.8182,2.7641,-0.106474,0.136654,3.467397,-3.204119
