Cell,umap_1,umap_2,SampleID,AdipoAlpha,FibroAlpha
402638,-10.110559,-1.132378,Fibro_Cocultured,0.3,1
404022,3.490197,0.468299,Fibro_Cocultured,0.3,1
410541,2.608543,-3.319521,Fibro_Cocultured,0.3,1
415503,2.700692,-3.947844,Fibro_Cocultured,0.3,1
429529,-0.068495,3.117664,Adipo_Cocultured,1,0.3
446390,0.631136,0.0926,Fibro_Cocultured,0.3,1
448733,-7.022772,2.651986,Fibro_Cocultured,0.3,1
448916,3.124203,0.475565,Fibro_Cocultured,0.3,1
452090,-7.693919,-1.080323,Adipo_Cocultured,1,0.3
458949,3.974688,-0.351009,Adipo_Cocultured,1,0.3
464211,1.436564,-0.909859,Fibro_Cocultured,0.3,1
466240,2.673737,-4.763858,Fibro_Cocultured,0.3,1
468521,-6.585979,0.726885,Fibro_Cocultured,0.3,1
472383,-0.331769,-0.288942,Adipo_Cocultured,1,0.3
479573,-3.447104,6.77545,Adipo_Cocultured,1,0.3
481320,-0.077981,-1.588915,Fibro_Cocultured,0.3,1
482920,-6.524277,2.755298,Fibro_Cocultured,0.3,1
494298,1.94682,4.026582,Adipo_Cocultured,1,0.3
494511,-0.178627,2.090009,Adipo_Cocultured,1,0.3
498868,-7.598363,1.803338,Fibro_Cocultured,0.3,1
503861,2.422233,-2.672933,Fibro_Cocultured,0.3,1
512039,4.69987,-4.059988,Fibro_Cocultured,0.3,1
515214,2.515211,-4.983391,Fibro_Cocultured,0.3,1
520537,-8.14825,1.858496,Fibro_Cocultured,0.3,1
524130,2.214475,0.15624,Fibro_Cocultured,0.3,1
526731,2.419909,-2.134337,Fibro_Cocultured,0.3,1
541331,-6.837879,1.46707,Fibro_Cocultured,0.3,1
545415,3.852914,-4.297025,Fibro_Cocultured,0.3,1
556733,4.946594,-0.102398,Fibro_Cocultured,0.3,1
560580,-7.477358,-1.082413,Fibro_Cocultured,0.3,1
564128,-10.881626,0.232049,Fibro_Cocultured,0.3,1
568163,-5.836819,-1.049031,Fibro_Cocultured,0.3,1
575228,2.063092,-2.400991,Fibro_Cocultured,0.3,1
580013,3.950934,-0.120991,Adipo_Cocultured,1,0.3
580809,0.372621,-0.366754,Adipo_Cocultured,1,0.3
586033,-0.229388,-3.989127,Fibro_Cocultured,0.3,1
589491,-6.305572,1.820589,Fibro_Cocultured,0.3,1
593997,-6.81518,-1.412119,Fibro_Cocultured,0.3,1
595041,3.908295,-1.474725,Fibro_Cocultured,0.3,1
598880,-5.934981,-0.447621,Fibro_Cocultured,0.3,1
602122,1.866474,-0.481032,Adipo_Cocultured,1,0.3
605546,3.906903,-0.095211,Fibro_Cocultured,0.3,1
609287,3.977676,-3.394102,Fibro_Cocultured,0.3,1
609482,3.699504,-1.498157,Fibro_Cocultured,0.3,1
621632,4.870838,-1.115695,Fibro_Cocultured,0.3,1
626827,-5.857082,-0.738806,Fibro_Cocultured,0.3,1
628185,1.960129,-4.150066,Fibro_Cocultured,0.3,1
628920,5.286309,-1.850726,Adipo_Cocultured,1,0.3
628965,1.754692,-2.731179,Fibro_Cocultured,0.3,1
629580,3.448926,-3.915691,Fibro_Cocultured,0.3,1
630880,3.134265,-4.033246,Fibro_Cocultured,0.3,1
633002,4.366779,-2.347949,Fibro_Cocultured,0.3,1
