Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Stfa2l1,2.41610474780368e-10,5.52998864586505,0.102,0.022,6.32584545069958e-06
Gda,2.55697534046864e-10,1.55469673367724,0.288,0.132,6.694672836415e-06
Fcgr2b,2.682118576272e-10,1.68574798653853,0.212,0.081,7.02232285639534e-06
Ccl2,3.05346138670022e-10,2.22504022906228,0.369,0.205,7.9945726026585e-06
Cd93,3.05545833621414e-10,1.09322880634945,0.331,0.161,7.99980101587587e-06
Rasgrp4,3.07667875254271e-10,1.82356518084722,0.161,0.05,8.05536030990734e-06
mt-Nd4l,3.34845937829945e-10,-0.539041013967377,0.898,0.964,8.76693634426361e-06
Fn1,3.76060447691983e-10,3.1675225573519,0.102,0.022,9.8460146414715e-06
Olfml2b,3.90091957419235e-10,4.1634070946876,0.038,0.001,1.02133876291504e-05
Pdpn,3.99363641794964e-10,1.93703946909889,0.246,0.106,1.04561388694758e-05
Cd81,5.101393278426e-10,1.49055045164907,0.25,0.107,1.3356467881575e-05
Pf4,5.22933061573345e-10,2.39246359631454,0.318,0.165,1.36914334181133e-05
Cxcr2,5.29518311714569e-10,2.8171533104143,0.051,0.004,1.38638484373108e-05
Anpep,5.98535676047103e-10,1.96265944732144,0.212,0.084,1.56708610702652e-05
Gnai2,7.89223782621227e-10,0.513077512745537,0.945,0.869,2.0663457076589e-05
Fpr2,8.01437380934973e-10,1.66458796417466,0.199,0.075,2.09832335076395e-05
Zfp36l1,8.24208829743337e-10,1.09001787498675,0.538,0.368,2.157943558034e-05
Esd,1.0540425572378e-09,0.987888876814654,0.508,0.319,2.75969422336002e-05
Vat1,1.17918784640283e-09,1.29932571039066,0.25,0.109,3.08734961945188e-05
Gm2a,1.31656978783783e-09,1.01651127414824,0.521,0.346,3.44704301851701e-05
Ifi27l2a,1.49040023698028e-09,1.47960018762912,0.267,0.122,3.90216590046176e-05
Slfn4,1.5482092826781e-09,3.98337427284087,0.076,0.013,4.05352154390781e-05
Lilrb4b,1.57520080718386e-09,1.28374323093152,0.602,0.459,4.12419075336879e-05
Zfp36,1.7783864524041e-09,1.67812616569404,0.305,0.155,4.65617140968442e-05
Cd63,2.24061927665274e-09,1.38815548978164,0.339,0.177,5.86638939013221e-05
Ccr1,2.28822181753309e-09,1.22036521642911,0.271,0.123,5.99102236266515e-05
mt-Nd3,3.13838345904701e-09,-0.495909215066475,0.907,0.925,8.21691557247688e-05
S100a9,3.20533984395305e-09,4.69308403270553,0.191,0.075,8.39222077943787e-05
Stfa3,3.64564598018033e-09,5.24347825747699,0.076,0.014,9.54503030530813e-05
C3ar1,3.82236990790463e-09,0.618216622238253,0.36,0.182,0.000100077288928759
Eif4g2,3.97896862250747e-09,-0.624147362041149,0.686,0.789,0.000104177356474491
Ctsb,4.22394133351632e-09,0.917623911620169,0.754,0.643,0.000110591231994124
Serpinb10,4.32236827325931e-09,5.76355218190462,0.025,0,0.000113168246130475
Ltb4r1,4.85175465761061e-09,1.35543377142176,0.165,0.057,0.000127028640445561
Ubc,4.87145589915732e-09,0.744217345929558,0.822,0.725,0.000127544458351737
